,FRAME,FRAME_FILE_PATH,CROP_FILE_PATH,CROP_NUM,xA,yA,xB,yB,ID,INFO
47,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_1.jpg,1,549,191,613,319,,
48,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_2.jpg,2,485,107,581,299,,
49,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_3.jpg,3,140,8,284,296,,
50,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_4.jpg,4,531,83,627,275,,
51,13,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_13.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_13_crop_0.jpg,0,433,57,577,345,,
52,13,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_13.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_13_crop_1.jpg,1,311,53,455,341,,
53,13,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_13.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_13_crop_2.jpg,2,556,195,620,323,,
54,13,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_13.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_13_crop_3.jpg,3,150,80,246,272,,
55,14,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_14.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_14_crop_0.jpg,0,377,42,521,330,,
56,14,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_14.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_14_crop_1.jpg,1,548,134,640,326,,
57,14,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_14.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_14_crop_2.jpg,2,152,85,248,277,,
58,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_0.jpg,0,21,50,165,338,,
59,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_1.jpg,1,141,7,285,295,,
60,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_2.jpg,2,330,95,426,287,,
61,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_3.jpg,3,408,93,504,285,,
62,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_4.jpg,4,236,83,332,275,,
63,16,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_16.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_16_crop_0.jpg,0,386,12,602,444,,
64,16,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_16.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_16_crop_1.jpg,1,292,62,436,350,,
65,16,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_16.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_16_crop_2.jpg,2,151,80,247,272,,
66,17,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_17.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_17_crop_0.jpg,0,292,49,436,337,,
67,17,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_17.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_17_crop_1.jpg,1,486,43,630,331,,
68,17,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_17.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_17_crop_2.jpg,2,139,19,283,307,,
69,18,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_18.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_18_crop_0.jpg,0,145,14,289,302,,
70,18,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_18.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_18_crop_1.jpg,1,398,98,494,290,,
71,18,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_18.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_18_crop_2.jpg,2,473,94,569,286,,
72,18,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_18.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_18_crop_3.jpg,3,276,83,372,275,,
73,19,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_19.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_19_crop_0.jpg,0,479,56,623,344,,
74,19,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_19.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_19_crop_1.jpg,1,364,54,508,342,,
75,19,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_19.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_19_crop_2.jpg,2,149,82,245,274,,
76,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_0.jpg,0,141,19,285,307,,
77,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_1.jpg,1,442,95,538,287,,
78,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_2.jpg,2,488,91,584,283,,
79,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_3.jpg,3,285,89,381,281,,
80,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_4.jpg,4,365,86,461,278,,
81,21,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_21.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_21_crop_0.jpg,0,439,57,583,345,,
82,21,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_21.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_21_crop_1.jpg,1,320,55,464,343,,
83,21,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_21.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_21_crop_2.jpg,2,559,195,623,323,,
84,21,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_21.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_21_crop_3.jpg,3,150,79,246,271,,
85,22,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_22.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_22_crop_0.jpg,0,493,54,637,342,,
86,22,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_22.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_22_crop_1.jpg,1,375,49,519,337,,
87,22,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_22.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_22_crop_2.jpg,2,149,85,245,277,,
88,23,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_23.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_23_crop_0.jpg,0,317,15,533,447,,
89,23,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_23.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_23_crop_1.jpg,1,0,74,137,362,,
90,23,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_23.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_23_crop_2.jpg,2,204,69,348,357,,
91,23,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_23.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_23_crop_3.jpg,3,458,61,602,349,,
92,23,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_23.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_23_crop_4.jpg,4,571,177,635,305,,
93,23,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_23.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_23_crop_5.jpg,5,153,81,249,273,,
94,24,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_24.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_24_crop_0.jpg,0,419,51,563,339,,
95,24,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_24.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_24_crop_1.jpg,1,336,38,480,326,,
96,24,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_24.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_24_crop_2.jpg,2,548,133,640,325,,
97,24,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_24.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_24_crop_3.jpg,3,128,18,272,306,,
98,25,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_25.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_25_crop_0.jpg,0,122,117,218,309,,
99,25,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_25.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_25_crop_1.jpg,1,142,8,286,296,,
100,25,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_25.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_25_crop_2.jpg,2,406,100,502,292,,
101,25,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_25.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_25_crop_3.jpg,3,357,93,453,285,,
102,25,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_25.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_25_crop_4.jpg,4,301,92,397,284,,
103,26,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_26.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_26_crop_0.jpg,0,129,117,225,309,,
104,26,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_26.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_26_crop_1.jpg,1,142,14,286,302,,
105,26,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_26.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_26_crop_2.jpg,2,403,102,499,294,,
106,26,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_26.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_26_crop_3.jpg,3,351,95,447,287,,
107,26,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_26.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_26_crop_4.jpg,4,298,89,394,281,,
108,27,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_27.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_27_crop_0.jpg,0,387,55,531,343,,
109,27,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_27.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_27_crop_1.jpg,1,500,55,640,343,,
110,27,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_27.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_27_crop_2.jpg,2,149,82,245,274,,
111,28,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_28.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_28_crop_0.jpg,0,144,12,288,300,,
112,28,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_28.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_28_crop_1.jpg,1,418,99,514,291,,
113,28,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_28.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_28_crop_2.jpg,2,479,93,575,285,,
114,28,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_28.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_28_crop_3.jpg,3,371,90,467,282,,
115,28,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_28.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_28_crop_4.jpg,4,278,87,374,279,,
116,29,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_29.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_29_crop_0.jpg,0,347,13,491,301,,
117,29,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_29.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_29_crop_1.jpg,1,144,10,288,298,,
118,29,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_29.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_29_crop_2.jpg,2,449,95,545,287,,
119,29,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_29.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_29_crop_3.jpg,3,292,146,356,274,,
120,29,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_29.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_29_crop_4.jpg,4,257,74,353,266,,
121,30,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_30.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_30_crop_0.jpg,0,16,50,160,338,,
122,30,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_30.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_30_crop_1.jpg,1,141,7,285,295,,
123,30,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_30.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_30_crop_2.jpg,2,308,6,452,294,,
124,30,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_30.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_30_crop_3.jpg,3,405,92,501,284,,
125,30,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_30.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_30_crop_4.jpg,4,236,82,332,274,,
126,31,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_31.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_31_crop_0.jpg,0,476,47,620,335,,
