,0,1,2,3,4,5,6,7,8,9,10
15,15,4,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_4.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_4_crop_2.jpg,2,445,93,541,285,carla 0.99,"albert: 0.89571, anna: 0.84696, bob: 0.96346, carla: 0.98951, "
16,16,4,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_4.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_4_crop_3.jpg,3,253,79,349,271,bob 0.99,"albert: 0.28191, anna: 0.77110, bob: 0.99448, carla: 0.93734, "
17,17,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_0.jpg,0,47,121,143,313,albert 0.98,"albert: 0.98334, anna: 0.98013, bob: 0.85587, carla: 0.97899, "
18,18,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_1.jpg,1,398,20,542,308,anna 0.99,"albert: 0.98028, anna: 0.99146, bob: 0.97469, carla: 0.95052, "
19,19,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_2.jpg,2,141,6,285,294,albert 0.99,"albert: 0.99168, anna: 0.92097, bob: 0.06779, carla: 0.91951, "
20,20,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_3.jpg,3,328,95,424,287,anna 0.99,"albert: 0.96961, anna: 0.98688, bob: 0.41258, carla: 0.85371, "
21,21,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_4.jpg,4,236,82,332,274,carla 0.98,"albert: 0.87044, anna: 0.89019, bob: 0.96361, carla: 0.98222, "
22,22,6,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_6.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_6_crop_0.jpg,0,322,6,538,438,bob 0.99,"albert: 0.91229, anna: 0.98525, bob: 0.98922, carla: 0.96980, "
23,23,6,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_6.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_6_crop_1.jpg,1,215,69,359,357,carla 0.95,"albert: 0.61818, anna: 0.92457, bob: 0.80330, carla: 0.94584, "
24,24,6,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_6.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_6_crop_2.jpg,2,465,60,609,348,bob 0.99,"albert: 0.43296, anna: 0.97275, bob: 0.99246, carla: 0.98286, "
25,25,6,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_6.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_6_crop_3.jpg,3,152,81,248,273,albert 0.98,"albert: 0.97816, anna: 0.73682, bob: 0.36499, carla: 0.90532, "
26,26,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_0.jpg,0,141,13,285,301,albert 0.99,"albert: 0.99361, anna: 0.93586, bob: 0.12376, carla: 0.92135, "
27,27,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_1.jpg,1,490,97,586,289,bob 0.99,"albert: 0.44920, anna: 0.86400, bob: 0.99443, carla: 0.99159, "
28,28,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_2.jpg,2,446,94,542,286,anna 0.98,"albert: 0.75590, anna: 0.98196, bob: 0.91250, carla: 0.93085, "
29,29,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_3.jpg,3,286,88,382,280,carla 0.99,"albert: 0.67301, anna: 0.69015, bob: 0.96008, carla: 0.98604, "
30,30,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_4.jpg,4,364,85,460,277,anna 0.86,"albert: 0.78935, anna: 0.85939, bob: 0.16376, carla: 0.59447, "
31,31,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_0.jpg,0,9,51,153,339,anna 0.85,"albert: 0.74590, anna: 0.85418, bob: 0.58462, carla: 0.78643, "
32,32,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_1.jpg,1,141,11,285,299,albert 0.99,"albert: 0.99368, anna: 0.93013, bob: 0.07963, carla: 0.90290, "
33,33,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_2.jpg,2,214,3,358,291,albert 0.99,"albert: 0.99105, anna: 0.98206, bob: 0.63706, carla: 0.98612, "
34,34,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_3.jpg,3,335,94,431,286,anna 0.99,"albert: 0.92201, anna: 0.99233, bob: 0.52283, carla: 0.79675, "
35,35,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_4.jpg,4,385,93,481,285,anna 0.96,"albert: 0.17745, anna: 0.96002, bob: 0.94026, carla: 0.82826, "
36,36,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_5.jpg,5,430,91,526,283,carla 0.99,"albert: 0.84187, anna: 0.97018, bob: 0.94903, carla: 0.98974, "
37,37,9,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_9.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_9_crop_0.jpg,0,488,54,632,342,bob 0.99,"albert: 0.15466, anna: 0.85390, bob: 0.99465, carla: 0.98104, "
38,38,9,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_9.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_9_crop_1.jpg,1,374,48,518,336,bob 0.97,"albert: 0.71784, anna: 0.93986, bob: 0.96830, carla: 0.95311, "
39,39,9,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_9.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_9_crop_2.jpg,2,149,80,245,272,albert 0.99,"albert: 0.98566, anna: 0.77971, bob: 0.33151, carla: 0.95275, "
40,40,10,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_10.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_10_crop_0.jpg,0,434,48,578,336,bob 0.97,"albert: 0.81085, anna: 0.96803, bob: 0.96875, carla: 0.94723, "
41,41,10,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_10.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_10_crop_1.jpg,1,325,42,469,330,carla 0.96,"albert: 0.75774, anna: 0.92122, bob: 0.91624, carla: 0.95771, "
42,42,10,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_10.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_10_crop_2.jpg,2,133,12,277,300,albert 0.99,"albert: 0.99423, anna: 0.91158, bob: 0.11919, carla: 0.94108, "
43,43,11,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_11.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_11_crop_0.jpg,0,279,38,423,326,carla 0.98,"albert: 0.89914, anna: 0.95501, bob: 0.88666, carla: 0.98152, "
44,44,11,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_11.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_11_crop_1.jpg,1,498,36,640,324,anna 0.98,"albert: 0.71928, anna: 0.97548, bob: 0.87209, carla: 0.95734, "
45,45,11,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_11.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_11_crop_2.jpg,2,141,8,285,296,albert 0.99,"albert: 0.99377, anna: 0.93509, bob: 0.09990, carla: 0.92207, "
46,46,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_0.jpg,0,279,40,423,328,carla 0.97,"albert: 0.89226, anna: 0.94156, bob: 0.73867, carla: 0.97149, "
47,47,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_1.jpg,1,549,191,613,319,bob 0.48,"albert: 0.05156, anna: 0.06248, bob: 0.47544, carla: 0.44991, "
48,48,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_2.jpg,2,485,107,581,299,anna 0.99,"albert: 0.95694, anna: 0.99368, bob: 0.97758, carla: 0.92050, "
49,49,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_3.jpg,3,140,8,284,296,albert 0.99,"albert: 0.99414, anna: 0.92157, bob: 0.11674, carla: 0.91385, "
50,50,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_4.jpg,4,531,83,627,275,anna 0.98,"albert: 0.20524, anna: 0.98157, bob: 0.84941, carla: 0.69420, "
51,51,13,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_13.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_13_crop_0.jpg,0,433,57,577,345,bob 0.99,"albert: 0.50632, anna: 0.69617, bob: 0.99318, carla: 0.98480, "
52,52,13,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_13.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_13_crop_1.jpg,1,311,53,455,341,anna 0.98,"albert: 0.83287, anna: 0.98108, bob: 0.75873, carla: 0.92293, "
53,53,13,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_13.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_13_crop_2.jpg,2,556,195,620,323,bob 0.99,"albert: 0.42883, anna: 0.60696, bob: 0.98847, carla: 0.96705, "
54,54,13,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_13.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_13_crop_3.jpg,3,150,80,246,272,albert 0.99,"albert: 0.98503, anna: 0.75899, bob: 0.29732, carla: 0.94780, "
55,55,14,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_14.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_14_crop_0.jpg,0,377,42,521,330,carla 0.98,"albert: 0.89633, anna: 0.96537, bob: 0.97538, carla: 0.98027, "
56,56,14,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_14.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_14_crop_1.jpg,1,548,134,640,326,bob 0.99,"albert: 0.38139, anna: 0.65011, bob: 0.99451, carla: 0.97950, "
57,57,14,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_14.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_14_crop_2.jpg,2,152,85,248,277,albert 0.98,"albert: 0.97708, anna: 0.77835, bob: 0.46050, carla: 0.87148, "
58,58,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_0.jpg,0,21,50,165,338,anna 0.95,"albert: 0.87156, anna: 0.95203, bob: 0.56239, carla: 0.90909, "
59,59,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_1.jpg,1,141,7,285,295,albert 0.99,"albert: 0.99295, anna: 0.92960, bob: 0.07134, carla: 0.92700, "
60,60,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_2.jpg,2,330,95,426,287,anna 0.99,"albert: 0.97117, anna: 0.98511, bob: 0.41963, carla: 0.83066, "
61,61,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_3.jpg,3,408,93,504,285,bob 0.97,"albert: 0.10683, anna: 0.93166, bob: 0.96782, carla: 0.93265, "
62,62,15,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_15.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_15_crop_4.jpg,4,236,83,332,275,carla 0.98,"albert: 0.85281, anna: 0.88277, bob: 0.96950, carla: 0.98067, "
63,63,16,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_16.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_16_crop_0.jpg,0,386,12,602,444,carla 0.99,"albert: 0.83003, anna: 0.87238, bob: 0.98679, carla: 0.99089, "
64,64,16,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_16.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_16_crop_1.jpg,1,292,62,436,350,anna 0.93,"albert: 0.58260, anna: 0.93096, bob: 0.80687, carla: 0.79359, "
65,65,16,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_16.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_16_crop_2.jpg,2,151,80,247,272,albert 0.98,"albert: 0.98224, anna: 0.74574, bob: 0.28214, carla: 0.93561, "
66,66,17,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_17.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_17_crop_0.jpg,0,292,49,436,337,bob 0.97,"albert: 0.62028, anna: 0.73579, bob: 0.96599, carla: 0.88628, "
67,67,17,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_17.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_17_crop_1.jpg,1,486,43,630,331,anna 0.97,"albert: 0.68274, anna: 0.97297, bob: 0.92482, carla: 0.93697, "
68,68,17,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_17.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_17_crop_2.jpg,2,139,19,283,307,albert 0.99,"albert: 0.99048, anna: 0.95755, bob: 0.39451, carla: 0.93038, "
69,69,18,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_18.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_18_crop_0.jpg,0,145,14,289,302,albert 0.99,"albert: 0.99362, anna: 0.94518, bob: 0.20261, carla: 0.93295, "
70,70,18,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_18.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_18_crop_1.jpg,1,398,98,494,290,anna 0.99,"albert: 0.51773, anna: 0.98516, bob: 0.82861, carla: 0.69889, "
71,71,18,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_18.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_18_crop_2.jpg,2,473,94,569,286,carla 0.99,"albert: 0.82340, anna: 0.93391, bob: 0.96904, carla: 0.99448, "
72,72,18,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_18.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_18_crop_3.jpg,3,276,83,372,275,bob 0.99,"albert: 0.77635, anna: 0.83147, bob: 0.99299, carla: 0.98555, "
73,73,19,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_19.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_19_crop_0.jpg,0,479,56,623,344,bob 0.99,"albert: 0.46267, anna: 0.95127, bob: 0.99028, carla: 0.97993, "
74,74,19,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_19.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_19_crop_1.jpg,1,364,54,508,342,bob 0.99,"albert: 0.68074, anna: 0.96473, bob: 0.98960, carla: 0.96120, "
75,75,19,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_19.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_19_crop_2.jpg,2,149,82,245,274,albert 0.98,"albert: 0.98192, anna: 0.73290, bob: 0.40088, carla: 0.93422, "
76,76,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_0.jpg,0,141,19,285,307,albert 0.99,"albert: 0.99075, anna: 0.96004, bob: 0.28280, carla: 0.93724, "
77,77,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_1.jpg,1,442,95,538,287,anna 0.99,"albert: 0.71957, anna: 0.98687, bob: 0.92180, carla: 0.94765, "
78,78,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_2.jpg,2,488,91,584,283,carla 0.99,"albert: 0.53834, anna: 0.83020, bob: 0.99034, carla: 0.99386, "
79,79,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_3.jpg,3,285,89,381,281,carla 0.98,"albert: 0.65291, anna: 0.59845, bob: 0.95751, carla: 0.98381, "
80,80,20,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_20.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_20_crop_4.jpg,4,365,86,461,278,anna 0.84,"albert: 0.76598, anna: 0.83962, bob: 0.22177, carla: 0.67727, "
81,81,21,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_21.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_21_crop_0.jpg,0,439,57,583,345,bob 0.99,"albert: 0.64400, anna: 0.82218, bob: 0.99301, carla: 0.98356, "
82,82,21,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_21.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_21_crop_1.jpg,1,320,55,464,343,anna 0.98,"albert: 0.88724, anna: 0.97886, bob: 0.52067, carla: 0.91924, "
83,83,21,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_21.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_21_crop_2.jpg,2,559,195,623,323,bob 0.99,"albert: 0.44194, anna: 0.68602, bob: 0.99259, carla: 0.97192, "
84,84,21,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_21.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_21_crop_3.jpg,3,150,79,246,271,albert 0.99,"albert: 0.98580, anna: 0.79150, bob: 0.31240, carla: 0.95866, "
85,85,22,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_22.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_22_crop_0.jpg,0,493,54,637,342,bob 0.99,"albert: 0.08786, anna: 0.63835, bob: 0.99287, carla: 0.97905, "
86,86,22,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_22.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_22_crop_1.jpg,1,375,49,519,337,anna 0.93,"albert: 0.75376, anna: 0.92526, bob: 0.89068, carla: 0.89940, "
87,87,22,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_22.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_22_crop_2.jpg,2,149,85,245,277,albert 0.98,"albert: 0.98156, anna: 0.85721, bob: 0.65103, carla: 0.92311, "
88,88,23,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_23.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_23_crop_0.jpg,0,317,15,533,447,bob 0.99,"albert: 0.73373, anna: 0.97105, bob: 0.98572, carla: 0.97418, "
89,89,23,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_23.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_23_crop_1.jpg,1,0,74,137,362,albert 0.48,"albert: 0.47851, anna: 0.42863, bob: 0.33015, carla: 0.35352, "
